response,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
15,30 - 39,Male,developer,1,Relax environment;real-time online help;show grades after completion;quick response from TA/instructor,,Proctortrack,n/a,only one I used,only one I used,slow,usability
16,18 - 29,Male,Senior Manager,5-9,Relax environment;real-time online help;give me feedback on what goes run;show alert if exam ends soon;anti-cheating sytem,,Proctortrack;paper exam, n/a,Convenience and familiarity ,the timer,navigation,"preview of past of future questions, not just the question number"
17,30 - 39,Male,Data Scientist,1,Relax environment;real-time online help;show grades after completion;quick response from TA/instructor;show alert if exam ends soon;anti-cheating sytem,,Proctortrack;paper exam;ProctorU,NA,I can decide the time that I want to take the exam,The ability to select the time and environment,The interface for making questions to go back too,Let me take notes next to questions in case I need to come back to them
18,30 - 39,Male,IT Management,2-4,Relax environment;show alert if exam ends soon;anti-cheating sytem,,Proctortrack,n/a,It's familiar.,It's pretty easy to use.,The interface can show questions in an unnatural manner that makes it difficult for them to understand. I also don't like it when it requires a mirror or some other bizarre requirement.,The interface is very intimidating and makes me more anxious about the test itself.
19,18 - 29,Male,Engineer,5-9,show alert if exam ends soon,,Proctortrack,NA,It hasnt' given me issues,Test Test feature,NA,NA
20,18 - 29,Male,Student,2-4,Relax environment;real-time online help;give me feedback on what goes run;quick response from TA/instructor;show alert if exam ends soon;anti-cheating sytem,,paper exam,na,I don't like the scariness of losing power during exam or other technical issues.,I prefer paper because I can organize myself on a desk and flip through questions quickly.,Paper doesn't allow for online easily :),Make switching between questions easier in online test environments.
21,30 - 39,Female,student,2-4,Relax environment;real-time online help;give me feedback on what goes run;quick response from TA/instructor;show alert if exam ends soon,,Proctortrack;Canvas Exam,N/A,It met most of my requirement.,I prefer the real-time online help feature of Proctortrack interface because it can immediately help students to solve problems happened during the exam.,It is hard for me to open another file when I take an exam of Proctortrack because the toolbar is always obscured. ,No
22,18 - 29,Male,"Pornstar, Data scientist",2-4,Relax environment,,Canvas Exam,NA,NA,NA,NA,NA
23,30 - 39,Male,"Student, Data Scientist, Cyber security.",1,real-time online help;show alert if exam ends soon;anti-cheating sytem,,Proctortrack,none,It's the only one I have ever used.,I like knowing how much time has passed,It's sometimes annoying to wait while I click forward and backward between questions.,nope.
24,18 - 29,Female,Engineer,1,Relax environment;show grades after completion;give me feedback on what goes run;anti-cheating sytem,,Proctortrack;others,I've only used Proctortrack so I have no comparison capability,It's the only one I've ever used,Time count-down and progress bar,The monitoring system,none
